Estadística del Padrón Continuo
30.- Murcia, Región de
Población por sexo, municipios y país de nacimiento
Unidades:   Personas

,Total,España,Extranjero,Europa (sin España),UE28 sin España,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Europa menos UE28,Rusia,Ucrania,África,Argelia,Marruecos,Nigeria,Senegal,América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Asia,China,Pakistán,Oceanía ,
    Total,
        30 Murcia,
            1 de enero de 2018,15.674,10.179,5.495,1.863,1.573,146,91,89,44,41,28,754,164,290,65,114,1.540,14,1.491,1,18,1.430,32,119,22,79,50,15,992,17,12,26,10,23,657,33,2,5,
            1 de enero de 2017,15.349,10.159,5.190,1.835,1.541,147,86,82,40,28,35,767,141,294,66,117,1.435,14,1.397,1,8,1.438,34,121,26,66,45,17,1.021,17,15,22,7,19,477,44,3,5,
            1 de enero de 2016,15.289,10.117,5.172,1.920,1.626,169,94,85,36,35,39,780,144,294,57,124,1.418,15,1.379,1,7,1.427,31,118,21,69,48,16,1.030,21,13,19,5,12,402,52,4,5,
            1 de enero de 2015,15.605,10.048,5.557,2.222,1.911,221,121,98,39,39,56,900,165,311,62,113,1.440,14,1.403,1,4,1.521,34,117,27,67,49,14,1.127,19,10,16,5,14,368,55,6,6,
            1 de enero de 2014,15.735,9.928,5.807,2.433,2.120,251,134,84,38,49,77,1.003,173,313,66,111,1.459,15,1.424,1,4,1.591,40,130,28,71,45,15,1.186,11,10,14,5,12,322,45,9,2,
            1 de enero de 2013,16.568,9.725,6.843,3.518,3.163,502,137,99,54,60,111,1.526,185,355,71,120,1.412,14,1.378,1,2,1.597,44,131,33,72,41,14,1.186,15,9,13,4,12,314,51,10,2,
        30006 Aledo,
            1 de enero de 2020,1.031,903,128,100,100,6,0,50,2,0,0,36,3,0,0,0,9,1,7,0,0,18,2,2,1,4,0,1,0,0,1,0,0,0,1,1,0,0,
            1 de enero de 2019,1.022,904,118,98,98,6,0,51,2,0,0,33,3,0,0,0,6,1,4,0,0,13,2,2,1,3,0,1,0,0,1,0,0,0,1,1,0,0,
            1 de enero de 2018,1.022,913,109,92,92,6,0,50,2,0,1,27,3,0,0,0,7,1,5,0,0,10,0,2,1,3,0,1,1,0,1,1,0,0,0,0,0,0,
            1 de enero de 2017,945,862,83,68,68,4,0,47,0,0,1,11,3,0,0,0,4,0,4,0,0,11,0,1,1,5,0,0,2,0,1,1,0,0,0,0,0,0,
            1 de enero de 2016,941,853,88,77,77,4,0,52,0,0,2,14,3,0,0,0,1,0,1,0,0,10,0,0,1,5,0,0,2,0,1,1,0,0,0,0,0,0,
