Estadística del Padrón Continuo
30.- Murcia, Región de
Población por sexo, municipios y país de nacimiento
Unidades:   Personas

,Total,España,Extranjero,Europa (sin España),UE28 sin España,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Europa menos UE28,Rusia,Ucrania,África,Argelia,Marruecos,Nigeria,Senegal,América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Asia,China,Pakistán,Oceanía ,
    Total,
        30 Murcia,
            1 de enero de 2016,497,491,6,3,3,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
            1 de enero de 2015,504,496,8,5,5,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
            1 de enero de 2014,518,511,7,4,4,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
            1 de enero de 2013,531,522,9,4,4,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
        30032 Pliego,
            1 de enero de 2020,3.843,3.423,420,212,203,2,8,53,5,0,60,37,24,9,0,3,143,1,139,0,0,56,1,14,3,1,4,0,9,1,4,1,0,2,9,4,3,0,
            1 de enero de 2019,3.847,3.431,416,231,221,1,12,53,6,1,63,49,22,10,0,4,122,0,119,0,0,55,1,12,4,0,4,0,14,0,4,1,0,2,8,5,3,0,
            1 de enero de 2018,3.842,3.427,415,246,235,1,11,55,4,1,72,50,27,11,1,4,117,0,113,0,0,44,1,13,4,0,3,0,11,0,3,1,0,2,8,5,3,0,
            1 de enero de 2017,3.873,3.458,415,262,250,0,17,55,5,0,81,51,30,12,1,4,103,1,100,0,0,44,1,7,5,0,3,0,15,0,4,1,0,2,6,3,3,0,
            1 de enero de 2016,3.933,3.483,450,301,288,1,24,55,4,0,105,54,30,13,1,5,100,1,97,0,0,44,1,10,4,1,1,0,13,0,3,4,0,2,5,1,4,0,
            1 de enero de 2015,3.973,3.501,472,321,310,1,30,55,3,0,116,63,29,11,1,4,93,1,89,0,1,51,1,15,4,0,2,0,15,1,3,2,0,2,7,1,6,0,
            1 de enero de 2014,3.937,3.480,457,321,310,2,13,55,3,0,129,64,31,11,1,4,82,1,79,0,1,47,1,11,4,0,2,1,14,1,3,1,0,1,7,1,6,0,
            1 de enero de 2013,3.901,3.477,424,300,288,4,8,54,3,0,125,55,26,12,1,5,75,1,72,0,0,48,0,5,4,0,2,3,18,2,3,1,0,2,1,1,0,0,
        30033 Puerto Lumbreras,
            1 de enero de 2020,15.780,12.576,3.204,749,687,15,47,331,3,2,10,58,185,62,18,8,1.603,4,1.495,1,55,810,40,31,25,81,23,11,377,14,5,14,4,8,42,19,21,0,
            1 de enero de 2019,15.394,12.533,2.861,743,685,15,34,331,2,2,12,48,205,58,16,6,1.370,3,1.282,0,46,705,41,26,22,63,21,10,351,13,4,14,3,5,43,17,21,0,
            1 de enero de 2018,14.981,12.425,2.556,772,711,14,37,336,2,1,21,41,222,61,14,6,1.131,2,1.060,0,36,609,41,26,24,42,16,9,335,14,5,14,2,4,44,17,19,0,
            1 de enero de 2017,15.020,12.439,2.581,890,825,20,46,341,4,0,30,54,300,65,17,5,1.029,4,955,0,37,617,45,20,25,46,15,10,371,14,4,14,3,3,45,22,14,0,
            1 de enero de 2016,14.874,12.361,2.513,928,860,21,40,348,4,3,39,67,309,68,20,5,946,4,878,0,31,596,45,18,20,38,11,10,375,12,4,11,3,3,43,20,13,0,
            1 de enero de 2015,14.694,12.233,2.461,945,876,21,36,360,2,3,39,80,308,69,19,5,841,4,769,0,37,644,44,21,22,36,6,10,423,11,4,11,3,3,31,16,9,0,
            1 de enero de 2014,14.610,12.201,2.409,964,899,21,35,368,2,4,39,87,313,65,17,5,759,4,687,0,36,655,49,24,20,42,9,10,420,15,4,12,2,3,31,14,9,0,
            1 de enero de 2013,14.564,12.138,2.426,1.054,980,27,36,369,3,4,48,121,333,74,16,5,664,6,604,1,28,685,51,22,23,44,4,10,437,21,4,12,3,4,23,16,4,0,
        30034 Ricote,
            1 de enero de 2020,1.253,1.192,61,35,32,2,0,4,0,0,0,26,0,3,1,1,21,0,21,0,0,5,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,
            1 de enero de 2019,1.264,1.211,53,35,32,2,0,5,0,0,0,25,0,3,1,1,15,0,15,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
            1 de enero de 2018,1.301,1.247,54,36,33,1,0,8,0,0,0,21,0,3,2,1,15,0,15,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
            1 de enero de 2017,1.315,1.269,46,29,24,0,0,8,0,0,0,13,0,5,3,1,14,0,14,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
            1 de enero de 2016,1.332,1.281,51,33,28,0,0,8,0,0,0,18,0,5,3,1,15,0,15,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
            1 de enero de 2015,1.369,1.313,56,36,32,0,0,8,0,0,0,22,0,4,3,1,17,0,17,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
            1 de enero de 2014,1.398,1.337,61,44,39,1,0,9,0,0,0,27,0,5,3,1,14,0,14,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
            1 de enero de 2013,1.417,1.358,59,42,39,1,1,6,0,0,0,29,0,3,1,1,14,0,14,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
        30035 San Javier,
            1 de enero de 2020,33.129,24.841,8.288,2.776,2.202,139,173,158,60,69,60,739,446,574,141,298,3.246,30,3.148,4,7,2.076,151,261,76,181,119,43,933,40,49,35,18,58,182,87,4,8,
            1 de enero de 2019,32.489,24.672,7.817,2.614,2.060,140,167,151,53,70,55,660,415,554,128,294,3.040,22,2.954,4,6,1.984,145,272,67,170,108,36,919,42,44,30,14,41,172,90,5,7,
            1 de enero de 2018,31.905,24.462,7.443,2.451,1.951,149,177,135,47,58,54,623,386,500,92,285,2.957,20,2.872,4,4,1.880,143,273,51,151,96,33,906,30,37,25,14,34,147,72,3,8,
            1 de enero de 2017,31.695,24.331,7.364,2.442,1.924,168,178,130,41,58,49,594,414,518,99,283,2.906,22,2.821,7,3,1.865,149,275,47,139,102,30,906,28,38,22,16,39,145,63,5,6,
            1 de enero de 2016,31.782,24.083,7.699,2.662,2.113,192,193,144,45,55,58,666,430,549,129,265,2.912,22,2.825,7,5,1.962,160,285,44,141,105,36,965,26,44,19,17,39,161,69,5,2,
            1 de enero de 2015,31.915,23.828,8.087,2.921,2.349,214,205,148,52,60,60,790,468,572,145,254,2.963,26,2.875,7,3,2.038,172,316,44,153,98,36,1.000,26,46,23,16,33,163,66,6,2,
            1 de enero de 2014,31.988,23.620,8.368,3.070,2.507,227,226,148,54,59,69,853,509,563,126,252,3.022,29,2.933,6,3,2.102,188,327,45,153,93,43,1.044,22,36,25,17,32,171,70,6,3,
            1 de enero de 2013,32.786,23.352,9.434,3.960,3.290,312,247,179,57,72,77,1.284,565,670,138,247,3.113,31,3.018,5,4,2.190,191,353,44,155,99,45,1.073,31,40,23,16,35,169,74,1,2,
        30036 San Pedro del Pinatar,
            1 de enero de 2020,25.932,19.921,6.011,2.298,1.707,62,108,117,36,16,21,333,825,591,94,375,2.354,43,2.283,3,6,1.263,75,48,31,190,59,9,646,10,26,36,11,73,94,53,3,2,
            1 de enero de 2019,25.476,19.655,5.821,2.326,1.752,56,103,114,40,11,18,376,860,574,82,383,2.189,19,2.145,5,4,1.208,73,45,30,141,51,12,659,8,27,37,14,60,96,62,1,2,
            1 de enero de 2018,25.167,19.551,5.616,2.278,1.759,62,99,117,33,7,20,347,906,519,70,349,2.103,19,2.059,4,3,1.140,72,43,37,112,45,10,652,10,21,33,15,49,93,61,1,2,
            1 de enero de 2017,24.903,19.300,5.603,2.419,1.897,60,111,116,34,8,23,383,994,522,71,361,1.993,17,1.953,4,2,1.107,75,42,32,112,49,9,648,11,21,30,14,33,82,58,0,2,
            1 de enero de 2016,24.660,19.047,5.613,2.537,2.006,64,116,113,28,10,21,473,997,531,69,360,1.878,15,1.842,5,2,1.125,71,42,27,114,48,8,680,11,22,26,12,26,71,49,0,2,
            1 de enero de 2015,24.339,18.738,5.601,2.553,2.025,71,111,120,32,13,21,492,983,528,73,352,1.857,13,1.826,5,0,1.120,71,42,22,120,44,12,692,12,19,21,11,17,70,50,0,1,
            1 de enero de 2014,24.091,18.500,5.591,2.586,2.075,66,112,124,31,17,19,493,1.029,511,74,337,1.798,15,1.769,5,0,1.132,70,38,24,118,48,12,705,11,20,19,11,20,74,46,0,1,
            1 de enero de 2013,24.102,18.239,5.863,2.866,2.322,76,117,122,33,18,16,638,1.084,544,84,346,1.777,13,1.747,5,2,1.151,67,38,22,128,39,13,726,11,17,20,12,22,68,53,0,1,
        30901 Santomera,
            1 de enero de 2020,16.270,13.452,2.818,475,376,24,64,112,6,16,16,8,104,99,28,52,1.452,75,1.340,3,13,847,39,101,92,267,26,1,239,5,3,3,1,28,44,33,0,0,
            1 de enero de 2019,16.206,13.469,2.737,500,396,24,70,114,8,16,18,6,112,104,27,58,1.390,80,1.278,3,9,804,38,99,92,248,19,2,242,10,2,1,1,23,43,31,0,0,
            1 de enero de 2018,16.105,13.394,2.711,508,403,23,77,113,9,19,15,7,109,105,27,58,1.361,78,1.254,3,6,797,42,103,88,225,23,3,254,8,3,2,1,20,45,33,0,0,
            1 de enero de 2017,16.058,13.351,2.707,522,413,25,88,109,8,19,15,7,112,109,31,56,1.349,79,1.247,3,3,802,41,101,88,230,23,3,261,6,1,4,0,18,34,30,0,0,
            1 de enero de 2016,15.952,13.300,2.652,541,427,25,91,120,6,17,16,4,118,114,31,62,1.248,77,1.152,3,2,836,36,108,85,236,22,3,288,7,3,3,5,14,27,23,0,0,
            1 de enero de 2015,16.012,13.318,2.694,561,452,24,88,122,8,20,16,5,135,109,31,56,1.252,80,1.155,3,3,844,39,109,88,231,18,3,293,6,4,2,10,11,37,33,0,0,
            1 de enero de 2014,15.860,13.189,2.671,559,454,23,87,122,4,27,20,5,131,105,32,54,1.221,87,1.120,3,2,858,40,107,79,245,17,3,309,5,4,4,10,11,33,29,0,0,
            1 de enero de 2013,15.793,13.147,2.646,550,445,22,79,121,5,26,23,7,126,105,30,56,1.166,86,1.069,2,1,894,41,109,97,238,16,3,333,8,4,4,9,13,36,32,0,0,
        30037 Torre-Pacheco,
            1 de enero de 2020,36.464,26.359,10.105,1.906,1.687,44,36,108,15,38,13,1.034,228,219,23,93,5.181,37,4.878,4,50,2.291,44,122,49,222,25,6,1.479,91,15,28,9,90,726,62,46,1,
            1 de enero de 2019,35.676,26.211,9.465,1.741,1.518,38,33,105,13,34,16,889,242,223,30,97,4.913,20,4.643,4,41,2.110,37,123,45,175,17,6,1.439,74,16,29,9,42,700,59,36,1,
            1 de enero de 2018,35.614,26.161,9.453,1.720,1.514,39,35,108,13,32,25,855,241,206,32,97,4.872,14,4.599,4,38,2.110,46,128,41,152,13,12,1.497,68,14,28,8,23,750,58,33,1,
            1 de enero de 2017,35.198,26.056,9.142,1.553,1.370,34,32,103,11,26,22,749,240,183,19,88,4.783,15,4.523,4,37,2.073,40,127,38,133,12,11,1.503,72,15,26,8,23,732,50,25,1,
            1 de enero de 2016,34.630,25.749,8.881,1.618,1.433,43,27,106,12,42,33,784,233,185,18,89,4.601,13,4.359,3,33,2.057,41,116,38,105,12,9,1.536,61,15,27,11,22,604,48,28,1,
            1 de enero de 2015,34.469,25.550,8.919,1.645,1.463,43,27,105,11,43,35,794,252,182,14,89,4.556,14,4.330,5,33,2.156,35,119,32,106,12,11,1.631,60,18,26,8,28,561,53,20,1,
            1 de enero de 2014,34.151,25.324,8.827,1.683,1.498,42,29,108,13,45,41,821,250,185,16,88,4.376,14,4.172,4,23,2.288,30,128,35,110,11,11,1.766,56,20,26,8,24,479,45,21,1,
            1 de enero de 2013,33.575,24.902,8.673,1.557,1.378,35,29,107,11,45,35,749,227,179,15,91,4.312,16,4.107,3,26,2.374,35,130,38,114,12,9,1.850,59,20,26,9,15,429,31,20,1,
        30038 Torres de Cotillas, Las,
            1 de enero de 2020,21.753,19.568,2.185,542,482,66,8,257,10,3,15,14,68,60,7,30,861,37,335,25,340,731,25,61,33,97,19,23,360,15,17,23,7,23,51,39,7,0,
            1 de enero de 2019,21.471,19.408,2.063,539,475,66,8,253,8,4,18,13,67,64,7,31,801,40,320,24,302,673,26,62,25,66,17,21,350,14,18,31,6,15,48,36,8,2,
            1 de enero de 2018,21.375,19.347,2.028,543,479,69,12,251,12,4,16,13,75,64,7,31,765,42,293,23,285,668,21,60,23,59,20,23,365,11,16,29,7,17,51,38,8,1,
            1 de enero de 2017,21.420,19.380,2.040,573,511,72,15,252,8,7,18,22,92,62,4,34,741,49,278,23,277,681,26,59,25,51,20,22,382,11,15,25,7,19,44,35,4,1,
            1 de enero de 2016,21.341,19.306,2.035,595,525,77,26,247,11,7,13,22,97,70,2,40,718,50,272,24,255,680,21,59,23,49,13,22,404,11,15,21,5,18,41,35,0,1,
            1 de enero de 2015,21.399,19.259,2.140,650,582,87,24,262,16,13,21,19,113,68,3,37,728,56,270,28,250,723,22,56,24,63,13,22,437,11,15,17,5,16,38,31,0,1,
            1 de enero de 2014,21.404,19.161,2.243,684,619,92,28,269,12,13,23,21,133,65,4,34,757,58,286,28,257,763,27,59,28,65,13,21,454,11,16,20,5,20,38,32,0,1,
            1 de enero de 2013,21.565,19.086,2.479,802,734,102,43,279,12,16,34,25,184,68,6,35,816,58,293,30,288,825,27,57,32,70,15,24,504,10,19,19,5,20,35,29,0,1,
        30039 Totana,
            1 de enero de 2020,32.529,24.334,8.195,1.003,938,25,106,408,23,5,67,135,114,65,10,34,1.677,93,1.270,6,160,5.378,63,1.237,18,116,47,18,3.310,39,40,22,10,43,133,63,62,4,
            1 de enero de 2019,32.008,24.293,7.715,1.049,983,21,111,416,18,5,76,146,136,66,10,35,1.531,78,1.208,8,119,5.024,56,1.171,24,97,39,18,3.242,35,23,23,9,32,110,68,37,1,
            1 de enero de 2018,31.639,24.261,7.378,1.115,1.044,21,124,425,19,3,83,162,150,71,10,40,1.348,87,1.099,7,79,4.813,57,1.112,24,69,34,19,3.245,33,17,17,6,18,101,68,29,1,
            1 de enero de 2017,31.394,24.210,7.184,1.118,1.051,19,130,424,24,5,95,155,146,67,9,38,1.253,89,1.043,7,49,4.727,59,1.034,25,54,39,21,3.306,35,12,12,8,17,85,63,16,1,
            1 de enero de 2016,30.981,24.013,6.968,1.106,1.036,20,121,430,19,9,91,164,126,70,10,38,1.206,82,1.006,8,47,4.581,59,947,25,51,46,21,3.301,25,10,12,4,14,75,54,14,0,
            1 de enero de 2015,30.916,23.891,7.025,1.158,1.086,27,122,433,21,9,100,185,127,72,13,37,1.125,79,957,9,31,4.657,59,945,22,43,53,22,3.404,22,11,10,5,13,85,54,21,0,
            1 de enero de 2014,30.669,23.803,6.866,1.176,1.106,31,118,432,22,8,112,215,100,70,12,38,1.038,86,880,11,13,4.559,53,858,24,38,39,28,3.422,16,8,10,4,13,93,54,28,0,
            1 de enero de 2013,30.448,23.709,6.739,1.236,1.164,30,131,435,27,9,122,229,109,72,13,40,986,93,831,12,9,4.432,53,795,26,39,46,23,3.354,17,10,10,2,16,82,52,23,3,
        30040 Ulea,
            1 de enero de 2020,849,778,71,19,13,2,0,2,0,0,0,3,6,6,0,0,39,1,37,0,0,13,0,1,2,0,0,0,1,7,0,0,0,0,0,0,0,0,
            1 de enero de 2019,874,806,68,16,10,1,0,2,0,0,0,3,4,6,0,0,41,1,39,0,0,11,0,1,2,0,0,0,2,4,0,0,0,0,0,0,0,0,
            1 de enero de 2018,879,822,57,15,9,0,0,2,0,0,0,3,4,6,0,0,34,0,33,0,0,8,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,
            1 de enero de 2017,891,835,56,14,8,1,0,2,0,0,0,1,4,6,0,0,35,0,34,0,0,7,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,
            1 de enero de 2016,913,855,58,14,7,1,0,2,0,0,0,0,4,7,0,0,37,0,36,0,0,7,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,
            1 de enero de 2015,906,844,62,13,6,1,0,3,0,0,0,0,2,7,0,0,38,0,37,0,0,11,0,4,3,0,0,0,1,2,0,0,0,0,0,0,0,0,
            1 de enero de 2014,912,847,65,14,7,1,0,3,0,0,0,0,3,7,0,0,36,0,35,0,0,15,0,4,4,1,0,0,1,3,0,0,0,0,0,0,0,0,
            1 de enero de 2013,935,868,67,17,10,2,0,4,0,0,0,0,4,7,0,0,37,1,35,0,0,13,0,3,3,1,0,0,1,2,0,0,0,0,0,0,0,0,
        30041 Unión, La,
            1 de enero de 2020,20.538,18.037,2.501,248,224,14,11,61,3,11,9,38,47,24,3,6,1.593,7,1.546,0,22,629,26,14,30,223,18,6,149,28,24,20,6,59,29,19,1,2,
            1 de enero de 2019,20.225,17.927,2.298,259,232,13,12,57,3,11,11,40,53,27,6,7,1.447,6,1.403,0,21,561,22,15,25,193,15,5,143,24,22,18,6,51,29,18,1,2,
            1 de enero de 2018,19.907,17.767,2.140,255,223,13,15,52,3,12,12,40,47,32,7,9,1.346,6,1.305,1,17,508,20,18,29,165,20,6,134,24,28,15,6,29,29,19,0,2,
            1 de enero de 2017,19.764,17.683,2.081,250,222,14,13,56,4,10,16,33,49,28,6,5,1.305,5,1.261,1,18,496,18,16,26,160,23,7,139,26,22,18,6,21,28,22,0,2,
            1 de enero de 2016,19.630,17.598,2.032,260,237,12,8,58,5,13,19,35,60,23,6,3,1.267,8,1.228,0,12,482,22,20,29,161,20,8,130,17,20,20,3,17,22,20,0,1,
            1 de enero de 2015,19.572,17.537,2.035,293,268,13,8,60,5,16,20,40,68,25,6,5,1.227,8,1.194,0,12,491,26,23,35,156,18,6,130,20,22,16,6,18,23,20,0,1,
            1 de enero de 2014,19.452,17.363,2.089,319,295,16,8,62,5,18,19,49,79,24,4,5,1.249,13,1.210,1,12,493,27,19,33,155,17,6,140,21,22,20,7,14,27,24,0,1,
            1 de enero de 2013,19.263,17.109,2.154,355,329,15,9,65,5,21,20,71,85,26,2,5,1.275,15,1.230,1,15,496,30,27,32,157,17,7,142,17,17,20,5,12,27,22,1,1,
        30042 Villanueva del Río Segura,
            1 de enero de 2020,3.111,2.720,391,104,95,3,11,12,14,4,12,5,22,9,1,4,143,4,127,0,10,140,10,6,6,24,1,0,36,13,5,1,2,30,4,4,0,0,
            1 de enero de 2019,2.910,2.637,273,99,90,5,5,14,17,7,8,6,23,9,1,4,95,3,83,0,5,74,5,1,4,11,1,0,20,9,3,1,2,12,5,4,0,0,
            1 de enero de 2018,2.758,2.508,250,89,80,7,7,14,16,3,7,8,14,9,1,3,84,4,72,0,4,72,11,3,3,8,0,0,16,7,3,0,2,15,5,4,0,0,
            1 de enero de 2017,2.650,2.462,188,64,57,5,7,12,11,4,1,6,8,7,1,3,66,3,54,0,6,52,8,2,2,5,0,0,20,5,1,0,0,7,6,5,0,0,
            1 de enero de 2016,2.560,2.399,161,57,52,4,7,14,7,3,1,6,6,5,1,2,56,4,48,0,1,44,4,1,3,5,0,0,16,6,1,0,0,6,4,2,0,0,
            1 de enero de 2015,2.524,2.357,167,64,57,5,9,14,7,3,1,7,7,7,2,2,57,4,50,0,0,40,4,1,5,4,0,0,15,4,1,0,0,4,6,4,0,0,
            1 de enero de 2014,2.444,2.289,155,57,52,5,10,13,5,3,0,5,5,5,1,2,51,4,43,0,0,45,4,1,5,2,0,0,19,7,0,0,0,4,2,2,0,0,
            1 de enero de 2013,2.449,2.291,158,59,54,4,12,13,5,3,0,5,5,5,1,2,41,4,35,0,1,55,6,0,1,3,0,0,21,17,0,0,0,4,3,2,1,0,
        30043 Yecla,
            1 de enero de 2020,34.834,30.402,4.432,631,581,18,37,117,15,0,5,156,179,50,8,22,809,51,686,0,48,2.884,96,271,61,296,85,6,1.515,392,35,35,9,29,106,50,36,2,
            1 de enero de 2019,34.432,30.387,4.045,604,554,18,39,113,12,1,6,129,186,50,9,20,709,45,608,0,35,2.621,91,265,47,210,80,6,1.473,306,23,33,5,27,108,53,34,3,
            1 de enero de 2018,34.234,30.405,3.829,624,578,18,43,108,13,1,7,128,202,46,8,17,629,46,542,0,23,2.454,87,241,33,180,70,6,1.449,269,19,35,6,16,118,59,41,4,
            1 de enero de 2017,34.092,30.417,3.675,614,569,17,43,105,17,0,7,120,206,45,7,17,581,43,502,0,17,2.374,87,240,35,164,71,6,1.448,221,18,32,5,12,103,57,30,3,
            1 de enero de 2016,34.037,30.415,3.622,607,563,14,38,103,15,3,7,119,213,44,7,16,547,42,479,1,9,2.360,93,243,32,166,86,6,1.471,160,15,32,5,17,106,56,30,2,
            1 de enero de 2015,34.100,30.426,3.674,624,583,14,41,107,13,1,1,116,233,41,8,13,527,41,462,0,9,2.422,94,238,33,175,92,8,1.535,143,14,30,6,19,96,54,23,5,
            1 de enero de 2014,34.130,30.395,3.735,595,553,13,29,109,15,1,2,109,227,42,7,13,534,36,478,0,6,2.505,87,261,35,173,102,7,1.591,147,16,30,3,16,96,55,24,5,
            1 de enero de 2013,34.393,30.444,3.949,626,585,12,31,114,17,0,3,119,242,41,8,13,556,35,506,0,1,2.661,91,287,41,184,98,8,1.684,159,15,37,6,16,102,61,23,4,
    Hombres,
        30 Murcia,
            1 de enero de 2020,756.699,622.257,134.442,30.383,25.567,1.650,2.381,4.854,991,360,701,7.490,4.802,4.816,456,2.935,58.640,1.969,48.120,626,2.456,40.902,1.985,4.941,859,4.600,1.044,369,19.614,1.072,696,602,334,1.618,4.458,1.696,732,59,
            1 de enero de 2019,747.615,621.003,126.612,29.934,25.249,1.633,2.477,4.820,963,363,726,7.051,4.989,4.685,434,2.951,54.544,1.800,45.194,601,2.104,37.788,1.847,4.831,778,3.770,925,355,19.379,942,596,585,313,1.177,4.296,1.706,652,50,
            1 de enero de 2018,740.143,619.365,120.778,29.625,25.149,1.659,2.660,4.756,907,374,735,6.730,5.195,4.476,399,2.832,51.122,1.672,42.826,601,1.752,35.926,1.819,4.766,702,3.268,827,333,19.483,817,542,558,284,880,4.060,1.701,565,45,
            1 de enero de 2017,736.238,618.272,117.966,29.595,25.164,1.675,2.704,4.765,864,394,776,6.572,5.398,4.431,400,2.786,49.207,1.653,41.290,600,1.637,35.410,1.809,4.736,665,3.063,826,331,19.918,710,518,516,286,717,3.707,1.704,500,47,
            1 de enero de 2016,733.555,616.102,117.453,30.208,25.751,1.771,2.731,4.779,817,455,896,6.808,5.423,4.457,426,2.773,47.970,1.691,40.208,614,1.541,35.820,1.804,4.805,634,3.004,811,336,20.612,650,528,522,288,614,3.411,1.706,457,44,
            1 de enero de 2015,735.434,614.248,121.186,32.797,28.415,1.929,3.025,4.927,838,626,1.065,7.938,5.667,4.382,447,2.627,47.699,1.716,40.045,644,1.470,37.322,1.878,4.957,647,3.142,819,354,21.735,689,550,549,307,565,3.318,1.725,442,50,
            1 de enero de 2014,735.889,611.404,124.485,34.815,30.446,2.045,3.278,5.028,849,836,1.276,8.685,5.866,4.369,455,2.595,47.756,1.802,39.832,725,1.498,38.577,1.935,5.208,713,3.186,795,370,22.626,698,571,525,319,551,3.289,1.723,434,48,
            1 de enero de 2013,739.842,608.161,131.681,39.927,35.317,2.536,3.585,5.195,892,1.059,1.466,11.273,6.238,4.610,478,2.648,48.522,1.923,40.244,764,1.626,39.912,2.016,5.619,767,3.237,755,380,23.341,721,596,500,328,569,3.270,1.749,359,50,
        30001 Abanilla,
            1 de enero de 2020,3.096,2.632,464,312,304,10,0,85,3,0,2,130,21,8,2,3,119,6,107,0,0,32,0,11,2,1,1,0,8,2,3,0,0,0,1,0,1,0,
            1 de enero de 2019,3.112,2.649,463,304,294,10,0,83,2,0,3,125,24,10,2,4,125,12,107,0,0,33,0,13,2,1,1,0,9,2,3,0,0,0,1,0,1,0,
            1 de enero de 2018,3.060,2.642,418,285,273,12,0,86,2,0,1,113,22,12,3,4,92,0,87,0,0,39,1,15,3,4,1,0,9,2,2,0,0,0,2,0,2,0,
            1 de enero de 2017,3.122,2.679,443,306,293,11,0,89,2,1,1,121,26,13,4,4,98,0,92,0,0,36,1,15,2,2,1,0,9,3,2,0,0,0,3,0,1,0,
            1 de enero de 2016,3.143,2.701,442,311,298,12,0,85,2,0,1,129,28,13,3,4,98,0,91,0,0,31,0,12,0,2,1,0,10,3,2,0,0,0,2,0,0,0,
            1 de enero de 2015,3.209,2.732,477,345,335,11,0,89,2,0,0,165,26,10,3,4,96,0,92,0,0,34,0,14,1,1,1,0,10,3,2,0,0,0,2,0,0,0,
            1 de enero de 2014,3.252,2.748,504,360,349,10,2,89,2,0,0,176,32,11,5,4,103,0,101,0,0,39,0,16,1,1,2,0,11,3,2,0,0,0,2,0,0,0,
            1 de enero de 2013,3.318,2.757,561,408,399,15,3,90,2,0,0,219,35,9,5,3,109,1,108,0,0,41,0,18,1,2,1,0,11,3,2,0,0,0,3,0,0,0,
        30002 Abarán,
            1 de enero de 2020,6.514,5.604,910,88,82,11,2,43,2,0,1,2,16,6,4,1,543,29,512,0,0,269,4,27,1,10,3,0,172,1,5,2,2,1,10,6,2,0,
            1 de enero de 2019,6.479,5.620,859,84,78,8,1,43,2,0,1,3,15,6,4,1,501,25,475,0,0,267,2,30,0,7,3,0,177,1,4,1,2,3,7,6,1,0,
            1 de enero de 2018,6.527,5.675,852,91,84,8,0,44,2,0,0,3,20,7,4,1,483,24,458,0,0,267,2,30,1,6,3,0,181,0,4,1,2,0,11,9,1,0,
            1 de enero de 2017,6.578,5.744,834,90,83,8,0,45,1,1,0,3,18,7,4,1,469,21,446,0,1,265,2,31,1,6,2,0,188,0,4,1,2,0,10,8,1,0,
            1 de enero de 2016,6.640,5.795,845,91,83,7,0,44,1,0,0,3,22,8,4,1,467,22,443,0,1,278,3,33,2,5,3,0,202,1,3,1,2,0,9,6,2,0,
            1 de enero de 2015,6.630,5.801,829,88,80,6,0,47,1,0,0,3,17,8,4,1,454,19,434,0,0,276,3,33,2,4,3,1,202,0,3,1,5,0,11,8,2,0,
            1 de enero de 2014,6.563,5.786,777,92,85,8,0,49,1,0,0,3,19,7,4,1,408,20,386,0,0,267,3,32,2,5,2,1,198,1,3,1,5,0,10,8,2,0,
            1 de enero de 2013,6.635,5.803,832,112,105,8,0,52,1,0,0,8,29,7,4,1,438,18,417,0,0,270,2,34,2,5,2,0,201,1,3,1,4,0,12,10,1,0,
        30003 Águilas,
            1 de enero de 2020,17.832,15.116,2.716,959,853,150,38,197,44,18,11,133,141,106,12,15,886,60,740,1,44,793,96,219,15,70,21,19,245,17,10,13,12,23,74,26,16,4,
            1 de enero de 2019,17.620,15.007,2.613,984,879,160,45,195,45,17,11,130,156,105,13,15,811,62,673,0,38,751,94,220,15,41,19,21,244,11,8,13,11,18,63,26,12,4,
            1 de enero de 2018,17.490,14.959,2.531,976,875,161,48,183,45,19,10,126,165,101,13,10,753,64,625,0,32,740,96,223,16,40,17,20,242,9,9,14,6,16,59,28,8,3,
            1 de enero de 2017,17.354,14.892,2.462,944,845,162,48,174,46,23,9,114,164,99,13,11,724,66,600,0,29,732,91,228,15,34,15,19,256,8,7,13,6,16,59,29,10,3,
